sentence_id,token,label
0,But,O
0,the,O
0,staff,B-ASP
0,was,O
0,so,O
0,horrible,O
0,to,O
0,us.,O
1,To,O
1,be,O
1,completely,O
1,"fair,",O
1,the,O
1,only,O
1,redeeming,O
1,factor,O
1,was,O
1,the,O
1,"food,",B-ASP
1,which,O
1,was,O
1,above,O
1,"average,",O
1,but,O
1,couldn't,O
1,make,O
1,up,O
1,for,O
1,all,O
1,the,O
1,other,O
1,deficiencies,O
1,of,O
1,Teodora.,O
2,The,O
2,food,B-ASP
2,is,O
2,uniformly,O
2,"exceptional,",O
2,with,O
2,a,O
2,very,O
2,capable,O
2,kitchen,B-ASP
2,which,O
2,will,O
2,proudly,O
2,whip,O
2,up,O
2,whatever,O
2,you,O
2,feel,O
2,like,O
2,"eating,",O
2,whether,O
2,it's,O
2,on,O
2,the,O
2,menu,B-ASP
2,or,O
2,not.,O
3,Where,O
3,Gabriela,O
3,personaly,O
3,greets,O
3,you,O
3,and,O
3,recommends,O
3,you,O
3,what,O
3,to,O
3,eat.,O
4,For,O
4,those,O
4,that,O
4,go,O
4,once,O
4,and,O
4,don't,O
4,enjoy,O
4,"it,",O
4,all,O
4,I,O
4,can,O
4,say,O
4,is,O
4,that,O
4,they,O
4,just,O
4,don't,O
4,get,O
4,it.,O
5,Not,O
5,only,O
5,was,O
5,the,O
5,food,B-ASP
5,"outstanding,",O
5,but,O
5,the,O
5,little,O
5,'perks',B-ASP
5,were,O
5,great.,O
6,It,O
6,is,O
6,very,O
6,overpriced,O
6,and,O
6,not,O
6,very,O
6,tasty.,O
7,Our,O
7,agreed,O
7,favorite,O
7,is,O
7,the,O
7,orrechiete,B-ASP
7,with,I-ASP
7,sausage,I-ASP
7,and,I-ASP
7,chicken,I-ASP
7,(usually,O
7,the,O
7,waiters,B-ASP
7,are,O
7,kind,O
7,enough,O
7,to,O
7,split,O
7,the,O
7,dish,B-ASP
7,in,O
7,half,O
7,so,O
7,you,O
7,get,O
7,to,O
7,sample,O
7,both,O
7,meats).,B-ASP
8,The,O
8,Bagels,B-ASP
8,have,O
8,an,O
8,outstanding,O
8,taste,O
8,with,O
8,a,O
8,terrific,O
8,"texture,",O
8,both,O
8,chewy,O
8,yet,O
8,not,O
8,gummy.,O
9,Nevertheless,O
9,the,O
9,food,B-ASP
9,itself,O
9,is,O
9,pretty,O
9,good.,O
10,They,O
10,did,O
10,not,O
10,have,O
10,"mayonnaise,",B-ASP
10,forgot,O
10,our,O
10,"toast,",B-ASP
10,left,O
10,out,O
10,ingredients,B-ASP
10,(ie,O
10,cheese,B-ASP
10,in,O
10,an,O
10,"omelet),",B-ASP
10,below,O
10,hot,O
10,temperatures,O
10,and,O
10,the,O
10,bacon,B-ASP
10,was,O
10,so,O
10,over,O
10,cooked,O
10,it,O
10,crumbled,O
10,on,O
10,the,O
10,plate,B-ASP
10,when,O
10,you,O
10,touched,O
10,it.,O
11,It,O
11,took,O
11,half,O
11,an,O
11,hour,O
11,to,O
11,get,O
11,our,O
11,"check,",B-ASP
11,which,O
11,was,O
11,perfect,O
11,since,O
11,we,O
11,could,O
11,"sit,",O
11,have,O
11,drinks,B-ASP
11,and,O
11,talk!,O
12,The,O
12,design,B-ASP
12,and,O
12,atmosphere,B-ASP
12,is,O
12,just,O
12,as,O
12,good.,O
13,He,O
13,has,O
13,visited,O
13,Thailand,O
13,and,O
13,is,O
13,quite,O
13,expert,O
13,on,O
13,the,O
13,cuisine.,B-ASP
14,I,O
14,would,O
14,definitely,O
14,recommend,O
14,Mary's,O
14,and,O
14,am,O
14,making,O
14,it,O
14,one,O
14,of,O
14,my,O
14,regular,O
14,neighborhood,O
14,haunts.,O
15,The,O
15,pizza,B-ASP
15,is,O
15,the,O
15,best,O
15,if,O
15,you,O
15,like,O
15,thin,B-ASP
15,crusted,I-ASP
15,pizza.,I-ASP
16,My,O
16,Girlfriend,O
16,and,O
16,I,O
16,stumbled,O
16,onto,O
16,this,O
16,hopping,O
16,place,O
16,the,O
16,other,O
16,night,O
16,and,O
16,had,O
16,a,O
16,great,O
16,time!,O
17,He,O
17,can't,O
17,"help,",O
17,they're,O
17,bought,O
17,up,O
17,so,O
17,fast.,O
18,"Secondly,",O
18,on,O
18,this,O
18,night,O
18,the,O
18,place,O
18,was,O
18,overwhelmed,O
18,by,O
18,upper,O
18,east,O
18,side,O
18,ladies,O
18,perfume.,O
19,i,O
19,have,O
19,eaten,O
19,here,O
19,a,O
19,handful,O
19,of,O
19,"times,",O
19,for,O
19,no,O
19,reason,O
19,besides,O
19,sheer,O
19,convenience.,O
20,Obviously,O
20,run,O
20,by,O
20,folks,O
20,who,O
20,know,O
20,a,O
20,pie.,O
21,We,O
21,were,O
21,very,O
21,disappointed.,O
22,IT,O
22,IS,O
22,DEFINITELY,O
22,SPECIAL,O
22,AND,O
22,AFFORDABLE.,O
23,I,O
23,really,O
23,liked,O
23,this,O
23,place.,O
24,I,O
24,will,O
24,be,O
24,going,O
24,back,O
24,very,O
24,soon.,O
25,All,O
25,the,O
25,money,O
25,went,O
25,into,O
25,the,O
25,interior,B-ASP
25,"decoration,",I-ASP
25,none,O
25,of,O
25,it,O
25,went,O
25,to,O
25,the,O
25,chefs.,B-ASP
26,The,O
26,seats,B-ASP
26,are,O
26,uncomfortable,O
26,if,O
26,you,O
26,are,O
